iter	Passed	Remaining
774	1700	493
775	1702	491
776	1704	489
777	1706	486
778	1708	484
779	1710	482
780	1712	480
781	1713	477
782	1715	475
783	1717	473
784	1719	470
785	1721	468
786	1723	466
787	1724	464
788	1726	461
789	1728	459
790	1730	457
791	1732	455
792	1734	452
793	1735	450
794	1737	448
795	1739	445
796	1741	443
797	1743	441
798	1744	438
799	1746	436
800	1748	434
801	1751	432
802	1752	430
803	1754	427
804	1756	425
805	1758	423
806	1759	420
807	1761	418
808	1763	416
809	1765	414
810	1767	411
811	1769	409
812	1771	407
813	1773	405
814	1774	402
815	1776	400
816	1778	398
817	1780	396
818	1782	393
819	1784	391
820	1786	389
821	1788	387
822	1790	385
823	1792	382
824	1794	380
825	1796	378
826	1798	376
827	1801	374
828	1803	371
829	1804	369
830	1806	367
831	1809	365
832	1811	363
833	1813	360
834	1815	358
835	1817	356
836	1819	354
837	1821	352
838	1823	349
839	1825	347
840	1827	345
841	1830	343
842	1832	341
843	1833	338
844	1835	336
845	1837	334
846	1839	332
847	1842	330
848	1844	328
849	1846	325
850	1848	323
851	1850	321
852	1851	319
853	1853	316
854	1855	314
855	1857	312
856	1859	310
857	1861	308
858	1863	305
859	1865	303
860	1867	301
861	1869	299
862	1871	297
863	1873	294
864	1876	292
865	1878	290
866	1880	288
867	1882	286
868	1884	284
869	1886	281
870	1888	279
871	1890	277
872	1892	275
873	1894	273
874	1896	270
875	1898	268
876	1900	266
877	1902	264
878	1905	262
879	1907	260
880	1909	257
881	1911	255
882	1913	253
883	1915	251
884	1917	249
885	1919	246
886	1921	244
887	1923	242
888	1925	240
889	1928	238
890	1929	236
891	1931	233
892	1934	231
893	1936	229
894	1938	227
895	1941	225
896	1943	223
897	1944	220
898	1947	218
899	1949	216
900	1951	214
901	1953	212
902	1955	210
903	1957	207
904	1958	205
905	1961	203
906	1963	201
907	1965	199
908	1967	196
909	1969	194
910	1971	192
911	1973	190
912	1975	188
913	1977	186
914	1979	183
915	1981	181
916	1983	179
917	1985	177
918	1987	175
919	1989	172
920	1991	170
921	1993	168
922	1995	166
923	1997	164
924	1999	162
925	2002	160
926	2004	157
927	2006	155
928	2008	153
929	2010	151
930	2012	149
931	2015	147
932	2017	144
933	2019	142
934	2022	140
935	2024	138
936	2026	136
937	2028	134
938	2031	131
939	2033	129
940	2035	127
941	2037	125
942	2039	123
943	2041	121
944	2043	118
945	2045	116
946	2047	114
947	2050	112
948	2052	110
949	2054	108
950	2056	105
951	2058	103
952	2060	101
953	2062	99
954	2065	97
955	2067	95
956	2069	92
957	2071	90
958	2073	88
959	2075	86
960	2077	84
961	2080	82
962	2081	79
963	2084	77
964	2086	75
965	2088	73
